basin,WaterYear,site_name,sampsize,totalyield,totalyield_z
Donner Blitzen,1992,Donner Blitzen River nr Frenchglen NWIS,366,82.88247169256337,-1.5366777230575142
Donner Blitzen,1993,Donner Blitzen River nr Frenchglen NWIS,365,302.5090391141107,1.0513732621889313
Donner Blitzen,1994,Donner Blitzen River nr Frenchglen NWIS,365,130.3288154467304,-0.9775761619807718
Donner Blitzen,1995,Donner Blitzen River nr Frenchglen NWIS,365,270.2160298197495,0.6708366290209145
Donner Blitzen,1996,Donner Blitzen River nr Frenchglen NWIS,366,249.7534978849752,0.4297088066624165
Donner Blitzen,1997,Donner Blitzen River nr Frenchglen NWIS,365,270.73220179648257,0.6769191326479759
Donner Blitzen,1998,Donner Blitzen River nr Frenchglen NWIS,365,362.7721173976938,1.7615055606483276
Donner Blitzen,1999,Donner Blitzen River nr Frenchglen NWIS,365,275.23488055780564,0.729978115180465
Donner Blitzen,2000,Donner Blitzen River nr Frenchglen NWIS,366,150.6023915685935,-0.7386749704143232
Donner Blitzen,2001,Donner Blitzen River nr Frenchglen NWIS,365,139.31573825592181,-0.8716754291881883
Donner Blitzen,2002,Donner Blitzen River nr Frenchglen NWIS,365,159.1072466209432,-0.6384548615448699
Donner Blitzen,2003,Donner Blitzen River nr Frenchglen NWIS,365,164.25421861750985,-0.5778036110921737
Donner Blitzen,2004,Donner Blitzen River nr Frenchglen NWIS,366,179.26468404804135,-0.4009222332945101
Donner Blitzen,2005,Donner Blitzen River nr Frenchglen NWIS,365,220.5395466053939,0.08545539379118167
Donner Blitzen,2006,Donner Blitzen River nr Frenchglen NWIS,365,272.93699352567086,0.7029001124264229
Donner Blitzen,2007,Donner Blitzen River nr Frenchglen NWIS,365,152.85188747790957,-0.712167202375318
Donner Blitzen,2008,Donner Blitzen River nr Frenchglen NWIS,366,182.04095189432695,-0.3682070530718165
Donner Blitzen,2009,Donner Blitzen River nr Frenchglen NWIS,365,186.16157121930033,-0.3196502093847143
Donner Blitzen,2010,Donner Blitzen River nr Frenchglen NWIS,365,280.1186970198057,0.7875283749447218
Donner Blitzen,2011,Donner Blitzen River nr Frenchglen NWIS,365,458.36486314947206,2.887958078346014
Donner Blitzen,2012,Donner Blitzen River nr Frenchglen NWIS,366,152.88414822645538,-0.7117870458986268
Donner Blitzen,2013,Donner Blitzen River nr Frenchglen NWIS,365,129.07709840315275,-0.9923262332763955
Donner Blitzen,2014,Donner Blitzen River nr Frenchglen NWIS,365,134.30748747810216,-0.9306920067911117
Donner Blitzen,2015,Donner Blitzen River nr Frenchglen NWIS,365,128.17886699007,-1.0029108757488436
Donner Blitzen,2016,Donner Blitzen River nr Frenchglen NWIS,366,174.4647455322604,-0.4574840862193694
Donner Blitzen,2017,Donner Blitzen River nr Frenchglen NWIS,365,205.80744534802912,-0.08814577669331712
Donner Blitzen,2018,Donner Blitzen River nr Frenchglen NWIS,365,109.1394949340025,-1.2272683666784443
Donner Blitzen,2019,Donner Blitzen River nr Frenchglen NWIS,365,277.7042104250696,0.7590763780677809
Donner Blitzen,2020,Donner Blitzen River nr Frenchglen NWIS,366,152.3910196415408,-0.717598009185194
Donner Blitzen,2021,Donner Blitzen River nr Frenchglen NWIS,365,122.47885358986078,-1.070079094373391
Donner Blitzen,2022,Donner Blitzen River nr Frenchglen NWIS,365,124.51174161608351,-1.0461238055350277
Donner Blitzen,2023,Donner Blitzen River nr Frenchglen NWIS,365,239.93701297031996,0.3140326216120562
