site_name,agneventid,eventlen,mindate,isevent,n_little,n_big,yield_little_cumul,yield_big_cumul,yield_little_cumul_log,yield_big_cumul_log,yield_little_mean,yield_big_mean,yield_little_mean_log,yield_big_mean_log,yield_little_q10_log,yield_little_q50_log,yield_little_q90_log,yield_big_q10_log,yield_big_q50_log,yield_big_q90_log,site_name_cd
Grizzly Creek,2022_2,3,2021-07-30,1,3,3,0.17899004422730802,1.2429959951610146,-1.7204250935300218,0.21752459060947746,0.05966334807576934,0.4143319983870048,-2.8527869860279784,-0.8836094984710119,-3.1113547028068878,-2.841164510441374,-2.5988682594837114,-0.949602563883412,-0.8972735447989509,-0.8121508145274362,9
Grizzly Creek,2022_3,3,2021-08-02,2,3,3,0.12959765857221517,1.1226720703488766,-2.043320561799579,0.11571162095651218,0.04319921952407172,0.3742240234496256,-3.154179266377057,-0.9851684908414202,-3.2662392608087982,-3.257661693413311,-3.000726301130814,-1.03958717713168,-1.0190593043892233,-0.9171934791320393,9
Grizzly Creek,2022_4,4,2021-08-05,1,4,4,0.16710998985875858,1.5480033675844924,-1.7891030614528713,0.43696595060734766,0.041777497464689645,0.3870008418961231,-3.192926552818484,-0.9540527689731748,-3.3397792199655987,-3.269591719176751,-2.9847417525847555,-1.0576260649376936,-0.9480049652565604,-0.8553177159819476,9
Grizzly Creek,2022_5,9,2021-08-09,2,9,9,0.2405725402746969,2.8723785262980277,-1.4247336121515097,1.0551404413515606,0.0267302822527441,0.31915316958866974,-3.6261417470817343,-1.142476965000408,-3.724656223465578,-3.6220940169431217,-3.5362622853624677,-1.1695698986458214,-1.1512439705149915,-1.1057835776822738,9
Grizzly Creek,2022_6,8,2021-08-18,1,8,8,0.3591620449732181,4.155660584396963,-1.0239816135791218,1.4244714010850015,0.04489525562165226,0.5194575730496204,-3.2096183297599605,-0.704006742969571,-3.521871366599608,-3.391651079624183,-2.7874523312694466,-0.9894198436554175,-0.7979974824985578,-0.3992990026330033,9
Grizzly Creek,2022_7,24,2021-08-26,2,24,24,0.5156066188347198,7.734435425601489,-0.6624111708491515,2.045682491781521,0.021483609118113325,0.3222681427333953,-3.8454621480803923,-1.13310122493909,-3.9504781360355805,-3.8859137497174974,-3.7303209900932695,-1.1760852476655521,-1.1395849483381026,-1.0763428305777567,9
Grizzly Creek,2022_8,3,2021-09-19,1,3,3,0.06253422968093933,1.0534935886244994,-2.7720411972639116,0.05211186845763602,0.020844743226979778,0.35116452954149985,-3.871275950577437,-1.0478418444809705,-3.9064366983642893,-3.846641282711497,-3.8459690699369613,-1.0987178319997848,-1.0472812145503931,-0.9971901089343873,9
Grizzly Creek,2022_9,16,2021-09-22,2,16,16,0.28536616911688256,5.010965475596302,-1.253982119448885,1.611628606230505,0.01783538556980516,0.31318534222476885,-4.027633171797271,-1.1611702283994143,-4.075947931081004,-4.039580100808498,-3.9657728708726965,-1.1777396534508497,-1.1692695983982002,-1.1319566508741206,9
Grizzly Creek,2023_1,34,2022-06-29,2,34,34,9.038079751154816,42.873995864442406,2.2014467349327655,3.7582654851405355,0.26582587503396515,1.260999878365953,-1.4642835580969569,0.0889850707414632,-2.0936495232353844,-1.4741479239273474,-0.7089151474971769,-0.5556546246971575,0.09254984571405275,0.8841064260203763,9
Grizzly Creek,2023_2,3,2022-08-02,1,3,3,0.3524355214179949,1.678132546520004,-1.0428875914244797,0.5176815957001417,0.11747850713933164,0.559377515506668,-2.1454528677680655,-0.5876639066627595,-2.2243359684350597,-2.1732270084474976,-2.0554601108292987,-0.6822828280705573,-0.6431496939777671,-0.47085067032895855,9
Grizzly Creek,2023_3,5,2022-08-05,1,5,5,0.7211117540341502,3.7416271642512764,-0.32696115504783674,1.3195205874660665,0.14422235080683005,0.7483254328502553,-1.9731041652491106,-0.34268467445329664,-2.215177302164653,-2.1554454314843343,-1.6430679955636434,-0.641939256723443,-0.46920681496239597,0.04997971252137291,9
Grizzly Creek,2023_4,2,2022-08-10,2,2,2,0.2040446649309235,0.9337859477405521,-1.5894163633632201,-0.0685080450265613,0.10202233246546175,0.46689297387027606,-2.2829846074301536,-0.7618140008091195,-2.3062017764831433,-2.2829846074301536,-2.259767438377164,-0.7760703341826081,-0.7618140008091195,-0.747557667435631,9
Grizzly Creek,2023_5,6,2022-08-12,1,6,6,0.8143564655893016,3.6924852313515766,-0.20535709042350572,1.306299735781432,0.13572607759821695,0.6154142052252628,-2.0341642050014483,-0.541122011542767,-2.2191269643601177,-2.1342597793189233,-1.7491058713253047,-0.7806510730331402,-0.6429833487355663,-0.1997316128595944,9
Grizzly Creek,2023_6,6,2022-08-18,2,6,6,0.5304459550719782,2.4796585816634353,-0.6340372015711426,0.908120882015589,0.08840765917866304,0.41327643027723926,-2.4280666529443486,-0.8841073536734173,-2.501533849607501,-2.4254762310564884,-2.3571898781690566,-0.9227654450985672,-0.8812557026372527,-0.8483009132844321,9
Grizzly Creek,2023_7,3,2022-08-24,1,3,3,0.2733941169265961,1.2617599369237587,-1.2968408731147507,0.2325075217164433,0.09113137230886537,0.42058664564125287,-2.400362030983619,-0.8673143349294428,-2.5017431474969922,-2.3731744098620897,-2.3098559629188578,-0.9176311996101839,-0.8507302202309691,-0.823631116128091,9
Grizzly Creek,2024_1,35,2023-06-29,2,35,35,6.877013613047529,31.66181610221875,1.9281844898395248,3.4551114154804248,0.1964861032299294,0.90462331720625,-1.8456451249118673,-0.11041162314880808,-2.618022898669129,-2.0181314878285317,-0.8459392986141208,-0.2567754604159805,-0.16099527117333484,0.11210996384744273,9
