site_name,basin,subbasin,agneventid,eventlen,mindate,isevent,yield_little_cumul,yield_big_cumul,yield_little_cumul_log,yield_big_cumul_log,yield_little_mean,yield_big_mean,yield_little_mean_log,yield_big_mean_log,yield_little_q10_log,yield_little_q50_log,yield_little_q90_log,yield_big_q10_log,yield_big_q50_log,yield_big_q90_log,site_name_cd
Avery Brook,West Brook,West Brook,33,6,2020-08-26,1,1.60751186843328,0.5782100850372438,0.4746875602646091,-0.5478180074260197,0.26791864473888,0.09636834750620729,-1.439248417284691,-2.4458447320853303,-2.0368428086027195,-1.4034782942073338,-0.8774241490440199,-3.006803783351163,-2.3764435803668245,-1.9542868325380036,8
Avery Brook,West Brook,West Brook,34,6,2020-09-01,1,1.7325907753862375,0.838558831759955,0.5496178463146514,-0.17607053707946715,0.2887651292310396,0.13975980529332585,-1.4156894534175952,-2.1471598041314564,-1.8649296070493582,-1.6093050908405941,-0.7728336623628335,-2.65850484613794,-2.351520017244756,-1.4314545490116735,8
Avery Brook,West Brook,West Brook,35,2,2020-09-07,2,0.296429873635326,0.13442078677622343,-1.2159446023956588,-2.0067801993386887,0.148214936817663,0.06721039338811172,-1.9091542951672082,-2.7011463641350213,-1.9180995340228884,-1.9091542951672082,-1.9002090563115281,-2.74065502039209,-2.7011463641350213,-2.661637707877952,8
Avery Brook,West Brook,West Brook,36,5,2020-09-09,1,1.758677509637678,0.6254204784253554,0.5645621116177312,-0.4693310899704131,0.3517355019275356,0.1250840956850711,-1.2015919322601192,-2.189159681018653,-1.7696832586309648,-1.3988555597756223,-0.5293144733612392,-2.678630494700336,-2.315492369064286,-1.6269932148242694,8
Avery Brook,West Brook,West Brook,37,14,2020-09-14,2,2.35563584813486,0.7394654263710836,0.856810690233163,-0.3018277506340507,0.1682597034382043,0.05281895902650597,-1.8058527154156014,-2.949161065854362,-2.076426630850825,-1.8314955033556344,-1.5294239569677324,-3.081289516659576,-2.9999083497772228,-2.7943188811373223,8
Avery Brook,West Brook,West Brook,38,8,2020-09-28,1,4.304225491618271,1.865959237072357,1.4595972126623624,0.6237752571020629,0.5380281864522839,0.23324490463404463,-0.9159954463773434,-1.8744286332114402,-1.523215671222454,-1.0517871667957568,-0.26034301924059355,-2.6470406802787205,-2.0733772641859436,-0.8345440255785587,8
Avery Brook,West Brook,West Brook,39,6,2020-10-06,2,1.556392179613053,0.3999458157844319,0.4423704374517038,-0.9164262015886828,0.2593986966021755,0.06665763596407198,-1.3555376640009529,-2.710226453020775,-1.4887260246291438,-1.3402186284480289,-1.237668338925686,-2.777183578509861,-2.7249097105470286,-2.6285860700054355,8
Avery Brook,West Brook,West Brook,40,10,2020-10-12,1,8.594335020904662,3.3369474751766393,2.1511032677096513,1.2050564595124977,0.8594335020904662,0.3336947475176639,-0.37745967058639235,-1.3605690189634456,-0.8571077924647048,-0.5314928574366509,0.44093891500028487,-1.9003886056755754,-1.4646221304874356,-0.6442057481718556,8
Avery Brook,West Brook,West Brook,41,5,2020-10-22,2,1.9719564668882505,0.6818017356774076,0.6790261803222963,-0.3830163735534907,0.3943912933776501,0.13636034713548154,-0.9354452530288625,-1.9948611716557096,-1.0558079052486913,-0.9105347215427738,-0.8279822537805279,-2.063310319492506,-2.0133446034586338,-1.913863457085506,8
Avery Brook,West Brook,West Brook,42,11,2020-10-27,1,9.39058251697757,4.101461358990867,2.239707327182881,1.4113433392266905,0.8536893197252337,0.3728601235446242,-0.251547666837284,-1.0985045250165242,-0.5674186882080735,-0.32957757467288895,0.10345902486269488,-1.6352822264789555,-1.0196405327267584,-0.6897973401788117,8
