site_id,area_sqmi,elev_ft
AB,2.8322503333291698,699.251803048706
JB,0.9743053994855407,452.0915519024658
MB,0.35146758446586196,437.55119702636716
OL,0.5654136795656798,465.1764144970703
SD,1.7567870851238705,640.4319727825928
WL,8.50981164295834,401.97238556396485
WU,6.354040325735482,516.3184403765869
WR,6.210175364837062,568.7790399371338
WW,0.4928158923965915,686.2487912445068
WM,11.386045856133556,154.59051151306153
SRC,24.019462051515127,455.4568458984375
AVB,2.833488525637243,696.2353886602783
WBR,11.392905001612014,154.14731576538085
