site_id,area_sqmi,elev_ft
SP01,12.682312647876511,8339.750301474609
SP02,5.150860776457052,7869.525670644532
SP03,5.171830846476933,7958.339835693359
SP04,2.1816562863670335,8706.855952421874
SP05,5.158552138324678,7979.362522861328
SP06,27.930479555891676,7788.5459528710935
SP07,3.6804425328693635,8340.205261708985
SP08,4.741308504744924,7285.957469453125
SP09,44.25562182292869,7785.600726142578
SP10,35.060591929599155,7937.885047832031
SP11,97.49264784348071,7130.235314443359
PCM,166.0160482600266,6735.249732373047
LEI,5.168962206458443,7960.374340966797
SFS,44.24205435845988,7789.933261191406
