site_id,area_sqmi,elev_ft
BIG_001,81.20836169822488,3428.656019458008
BIG_004,73.57684383630901,3528.955126972656
BIG_005,53.15557775122348,3913.1550276416015
COA_009,12.425474770141374,4595.677480302735
COA_001,59.969425925462716,3658.917962163086
COA_006,45.37480407048821,3874.4946215283203
COA_003,12.635366966572258,3701.7687282519532
COA_004,11.238076285269605,3853.742267246094
COA_005,9.896033096903388,4039.1349583154297
BIG_006,28.107437667608135,3916.406231147461
BIG_002,3.9917383485056335,3431.6909566552736
BIG_003,2.8629721928853806,3594.2883778125
MCG_002,7.416459092149375,3711.233983691406
MCG_001,1.224020794828191,3697.072545410156
MCG_003,3.3382492503169185,3866.290919555664
COA_002,5.7153133686457975,3684.4886497021485
BIG_008,3.3459242688995237,4958.18627071289
COA_008,20.845714542439833,4154.479392524414
BIG_007,8.588619867768715,3965.1818931054686
BIG_009,3.9795281780624077,4284.324883217773
WBU_001,14.930716655782941,3635.305285703125
HAL,10.031755198492965,4453.618950571289
BIG,73.58997162600322,3528.27428859375
NFF,924.64095956043,3150.631262006836
