site_id,area_sqmi,elev_ft
DU01,9.449537520001188,5342.4714764257815
DU02,5.4605992124319975,5429.5483021289065
DU03,1.6960834876745943,5926.907946796875
SH01,14.83526312276466,5768.687915922852
SH02,4.429862327544738,6493.801214609375
SH03,2.5338355344486287,6361.745001650391
SH04,6.198651920639731,6142.521051040039
SH05,2.394537622558582,6496.105251782226
SH06,1.3590114723346298,6610.385575654297
SH07,53.421515333662796,5744.145694829102
SH08,8.679037269797636,6497.0347964160155
DUG,2.3849317416681384,6505.169213071289
SRS,53.421515333662796,5744.145694829102
SRL,842.7024951320253,4421.935936362304
