site_id,area_sqmi,elev_ft
PA_01FL,0.6700739896836354,1840.9669519042968
PA_02FL,0.9912138003019626,1770.2416613500977
PA_03FL,1.238431883091294,1708.7623562280273
PA_04FL,1.5651467840312485,1634.2663224108887
PA_05FL,2.31493565544957,1587.611972619629
PA_06FL,2.8534415989546678,1552.5477948730468
PA_07FL,3.0594679522831143,1520.233403190918
PA_08FL,3.5932434517817198,1474.8519207983397
PA_09FL,4.046717398346193,1433.886976895752
PA_10FL,4.896585480989843,1400.3952354345704
PI_01FL,0.5466476447462186,2501.955688120117
PI_02FL,1.1006112681261868,2369.7392778955077
PI_03FL,1.4355098765513798,2162.4095737646485
PI_04FL,1.8095899813656533,2024.9685299682617
PI_05FL,2.3054297684196055,1874.3122129907226
PI_06FL,2.698893735097896,1603.3088015686035
PI_08FL,3.6105641177494276,1354.6079533435059
PI_09FL,4.283095330897672,1238.919895999756
PI_10FL,4.807995212302693,1183.1179819714355
SR_01FL,0.47722811916090513,2940.0147104785156
SR_02FL,0.827132669699385,2487.8919701708983
SR_03FL,1.2444908252439155,2199.257748310547
SR_04FL,1.9000379401638672,2053.119194470215
SR_05FL,2.4754040339158094,1710.9466459448242
SR_06FL,2.8062836995594096,1524.8785231542968
SR_07FL,2.903781037857097,1432.0669357116699
SR_08FL,3.1630526784800455,1265.5244566418457
SR_09FL,3.2551121104745224,1154.3350388867188
SR_10FL,4.106115133067873,996.5580535754394
