basin,year,month,date,spi_1,spi_2,spi_3,spi_4,spi_5,spi_6,spi_7,spi_8,spi_9,spi_10,spi_11,spi_12,spi_13,spi_14,spi_15,spi_16,spi_17,spi_18,spi_19,spi_20,spi_21,spi_22,spi_23,spi_24,dsci_monthly_1,dsci_monthly_2,dsci_monthly_3,dsci_monthly_4,dsci_monthly_5,dsci_monthly_6,dsci_monthly_7,dsci_monthly_8,dsci_monthly_9,dsci_monthly_10,dsci_monthly_11,dsci_monthly_12,dsci_monthly_13,dsci_monthly_14,dsci_monthly_15,dsci_monthly_16,dsci_monthly_17,dsci_monthly_18,dsci_monthly_19,dsci_monthly_20,dsci_monthly_21,dsci_monthly_22,dsci_monthly_23,dsci_monthly_24
Paine Run,1980,12,1980-12-01,-2.574405800441232,-1.1758540211834951,-1.3130420320291922,-1.5063426765007932,-1.5291311660910345,-1.2988700716565795,-1.8238321864226243,-1.8198905082634764,-1.3005950671174267,-1.0715575276763358,-1.2919978074233913,-1.0493822228408456,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Paine Run,1981,1,1981-01-01,-2.6227121776657505,-3.4935858188827287,-2.147454516960884,-2.0146835599325885,-2.1492792901562274,-2.1618691105034094,-1.8779316864642437,-2.3220184622798437,-2.3251449572438116,-1.7615025719843707,-1.527495827483299,-1.7073841308764413,-1.4440541808667646,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Paine Run,1981,2,1981-02-01,0.9014629214161729,-0.3998712652590995,-1.2057210372083842,-1.0564896454540278,-1.1654144250708867,-1.4964030594669828,-1.5831013785250794,-1.3872083028783417,-1.832222157269661,-1.8841300580756486,-1.412640436698122,-1.1896165097312545,-1.374787898109753,-1.160926899199133,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Paine Run,1981,3,1981-03-01,-1.978895862914338,-0.37380398446257274,-1.2516646437857537,-1.7533890605409057,-1.5567094817487288,-1.6031331063664624,-1.8444057582345144,-1.9500240177058927,-1.7495478151483501,-2.142782852017914,-2.160303577042858,-1.6925171813631177,-1.4604431947627843,-1.6254810776909903,-1.4155754210227953,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Paine Run,1981,4,1981-04-01,-0.8716698362540156,-1.8543695403305174,-0.7849022922673646,-1.518086612289211,-1.933182009820214,-1.7704729238117505,-1.7950963300778149,-2.058915014251555,-2.176828577298915,-1.9772218216355963,-2.3402407166218224,-2.3593196503720457,-1.9111899911861139,-1.6817488245022338,-1.8390052019521972,-1.6255569887899293,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Paine Run,1981,5,1981-05-01,0.21525398083237646,-0.41012208709597214,-1.2996563542935733,-0.6169494042110077,-1.22055061383182,-1.7084817583329526,-1.7032247446477207,-1.7871694542147452,-1.9725702591164567,-2.121015676291055,-1.9543103328948819,-2.295163262435745,-2.298467198595724,-1.863403742013026,-1.6488611137456195,-1.8164409928312681,-1.6087305282909574,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Paine Run,1981,6,1981-06-01,-0.5458645817597941,-0.28458162616580684,-0.6993079822837075,-1.4902111299067538,-0.8803460256479868,-1.3744011843576815,-1.8620277213826268,-1.9062769653182798,-1.9904938629439433,-2.2312384687026676,-2.3834238991603645,-2.171553283916737,-2.491048333476965,-2.5027212478706238,-2.104384061279961,-1.8644690835222106,-2.0587550337767904,-1.8350114892026963,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Paine Run,1981,7,1981-07-01,1.1018800157576174,0.29958013519991633,0.2749913653793535,-0.11024124547330072,-0.7652702863499691,-0.3526281769651546,-0.8338512107283607,-1.2900016053838637,-1.4006944761764826,-1.4941232762000196,-1.705886392320606,-1.854939543942907,-1.7024718227096156,-2.0946811281378706,-2.077585169225457,-1.7172990870118987,-1.4855979727407838,-1.685473694262185,-1.494148146889596,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Paine Run,1981,8,1981-08-01,-0.35396288470554294,0.5084428109860984,0.029104881296465292,0.060257073828509304,-0.2836351421816849,-0.8793698483515849,-0.4801240727310549,-0.916864459941091,-1.3523016418171803,-1.4673967796674117,-1.5075154478486938,-1.7207918953541788,-1.8332337479725083,-1.702726107000587,-2.068456880329276,-2.061687542629707,-1.6972350821019697,-1.481349682258898,-1.6629254347702032,-1.4915535130228295,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Paine Run,1981,9,1981-09-01,0.020743602786090113,-0.33326755363019844,0.18633487819043593,-0.1238380991559368,-0.0844023978967706,-0.34268852412538536,-0.8498117774428903,-0.5304186943553115,-0.8785243633003332,-1.241864783991473,-1.3253567378266458,-1.4248149941675428,-1.6554039733989019,-1.7844365263422197,-1.694847795048641,-2.07148705531079,-2.066769156810412,-1.7318889905503443,-1.5273907208833724,-1.6909512271618166,-1.4910011092449873,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
