subbasin,site_name_big,site_name_little,shared_area_km2,shared_area_prop,area_sqmi_big,area_sqmi_little,elev_ft_big,elev_ft_little,area_sqmi_diff,area_sqmi_reldiff,elev_ft_diff,elev_ft_reldiff,riverdist_km,class,prop_cover_little,prop_cover_big,prop_cover_diff
West Brook,West Brook 0,Avery Brook,7.34744675445816,0.24874760651062308,11.386045856133556,2.8322503333291698,154.59051151306153,699.251803048706,-8.553795522804386,-3.020141059618068,544.6612915356445,0.7789201102677835,9.352779617442815,nlcd_43,0.5618858212447356,0.5191697553743514,0.042716065870384234
West Brook,West Brook 0,Jimmy Brook,2.527533222437523,0.08556956728892705,11.386045856133556,0.9743053994855408,154.59051151306153,452.0915519024658,-10.411740456648015,-10.68632121113738,297.5010403894043,0.6580548544591851,5.515637237847114,nlcd_43,0.4948350549816728,0.5191697553743514,-0.0243347003926786
West Brook,West Brook 0,Mitchell Brook,0.9117917042339146,0.030868682910401592,11.386045856133556,0.35146758446586196,154.59051151306153,437.5511970263672,-11.034578271667694,-31.39572114007994,282.9606855133057,0.6466916041741607,5.217108331220797,nlcd_43,0.7101063829787234,0.5191697553743514,0.19093662760437202
West Brook,West Brook 0,Obear Brook Lower,1.46677850544817,0.04965774570466659,11.386045856133556,0.5654136795656798,154.59051151306153,465.1764144970703,-10.820632176567877,-19.13754931589151,310.5859029840088,0.6676733671456699,5.579182260491876,nlcd_43,0.6614084507042254,0.5191697553743514,0.142238695329874
West Brook,West Brook 0,Sanderson Brook,4.557483085913181,0.15429346373223968,11.386045856133556,1.7567870851238705,154.59051151306153,640.4319727825928,-9.629258771009686,-5.48117575120421,485.84146126953124,0.7586152502015381,7.37729939129385,nlcd_43,0.5193578847969783,0.5191697553743514,1.881294226269148e-4
West Brook,West Brook 0,West Brook Lower,22.07621345093943,0.7473895953593436,11.386045856133556,8.50981164295834,154.59051151306153,401.9723855639649,-2.8762342131752163,-0.337990349710646,247.38187405090338,0.6154200709678802,4.768090613833259,nlcd_43,0.5391401096717794,0.5191697553743514,0.019970354297427995
West Brook,West Brook 0,West Brook Upper,16.48372400449577,0.5580560199380994,11.386045856133556,6.354040325735482,154.59051151306153,516.3184403765869,-5.032005530398075,-0.7919379280640022,361.72792886352534,0.7005907606160494,6.232991433629112,nlcd_43,0.5245562913907285,0.5191697553743514,0.005386536016377064
West Brook,West Brook 0,West Brook Reservoir,16.110503285651536,0.5454206428315763,11.386045856133556,6.210175364837062,154.59051151306153,568.7790399371338,-5.175870491296494,-0.8334499731848224,414.1885284240723,0.7282063848025269,6.816762381108621,nlcd_43,0.5339947950553026,0.5191697553743514,0.014825039680951169
West Brook,West Brook 0,West Whately Brook,1.2784664474290386,0.04328244619250254,11.386045856133556,0.4928158923965915,154.59051151306153,686.2487912445068,-10.893229963736964,-22.10405575754177,531.6582797314453,0.7747310982760162,9.325854886598544,nlcd_43,0.4069767441860465,0.5191697553743514,-0.11219301118830488
West Brook,West Brook 0,Avery Brook NWIS,7.350658381654374,0.24885633606045998,11.386045856133556,2.833488525637243,154.59051151306153,696.2353886602783,-8.552557330496313,-3.0183843178164516,541.6448771472168,0.7779622897213969,9.284222718476336,nlcd_43,0.5620907390084191,0.5191697553743514,0.04292098363406771
West Brook,West Brook NWIS,Avery Brook,7.34744675445816,0.24859778428266177,11.392905001612014,2.8322503333291698,154.14731576538085,699.251803048706,-8.560654668282844,-3.022562860190476,545.1044872833252,0.7795539245042978,9.403691356866256,nlcd_43,0.5618858212447356,0.5188313035232761,0.04305451772145952
West Brook,West Brook NWIS,Jimmy Brook,2.527533222437523,0.08551802820721788,11.392905001612014,0.9743053994855408,154.14731576538085,452.0915519024658,-10.418599602126474,-10.693361247538782,297.944236137085,0.6590351774619391,5.566548977270557,nlcd_43,0.4948350549816728,0.5188313035232761,-0.023996248541603316
West Brook,West Brook NWIS,Mitchell Brook,0.9117917042339146,0.03085009051101032,11.392905001612014,0.35146758446586196,154.14731576538085,437.5511970263672,-11.041437417146152,-31.415236867224117,283.4038812609864,0.6477045044946094,5.2680200706442415,nlcd_43,0.7101063829787234,0.5188313035232761,0.1912750794554473
West Brook,West Brook NWIS,Obear Brook Lower,1.46677850544817,0.049627836536086545,11.392905001612014,0.5654136795656798,154.14731576538085,465.1764144970703,-10.827491322046335,-19.149680514209397,311.0290987316895,0.6686261148213231,5.63009399991532,nlcd_43,0.6614084507042254,0.5188313035232761,0.14257714718094927
West Brook,West Brook NWIS,Sanderson Brook,4.557483085913181,0.15420053182097224,11.392905001612014,1.7567870851238705,154.14731576538085,640.4319727825928,-9.636117916488145,-5.485080120456774,486.2846570172119,0.7593072764689885,7.428211130717296,nlcd_43,0.5193578847969783,0.5188313035232761,5.26581273702198e-4
West Brook,West Brook NWIS,West Brook Lower,22.07621345093943,0.746939437965258,11.392905001612014,8.50981164295834,154.14731576538085,401.9723855639649,-2.8830933586536744,-0.33879637759542697,247.82506979858405,0.6165226236894032,4.8190023532567015,nlcd_43,0.5391401096717794,0.5188313035232761,0.020308806148503278
West Brook,West Brook NWIS,West Brook Upper,16.48372400449577,0.5577198993321276,11.392905001612014,6.354040325735482,154.14731576538085,516.3184403765869,-5.038864675876533,-0.7930174216030464,362.171124611206,0.7014491373715985,6.283903173052555,nlcd_43,0.5245562913907285,0.5188313035232761,0.005724987867452347
